nm lambda,1,2,3,4,5,6,7,8
429.149,0.015,0.047,0.018,0.034,0.036,0.067,0.056,0.094
429.321,0.015,0.047,0.018,0.034,0.037,0.068,0.056,0.096
429.493,0.015,0.047,0.018,0.033,0.037,0.069,0.055,0.095
429.664,0.014,0.048,0.018,0.033,0.037,0.069,0.054,0.096
429.836,0.013,0.047,0.017,0.032,0.036,0.069,0.051,0.096
430.008,0.013,0.047,0.017,0.032,0.036,0.069,0.051,0.097
430.179,0.013,0.047,0.016,0.032,0.036,0.069,0.051,0.097
430.351,0.014,0.047,0.018,0.031,0.036,0.07,0.051,0.098
430.522,0.014,0.047,0.018,0.031,0.036,0.07,0.05,0.099
430.694,0.013,0.046,0.017,0.03,0.035,0.07,0.048,0.099
430.866,0.013,0.046,0.017,0.03,0.036,0.071,0.049,0.1
431.037,0.014,0.046,0.017,0.031,0.036,0.072,0.048,0.102
431.209,0.015,0.047,0.017,0.031,0.036,0.072,0.048,0.101
431.381,0.015,0.047,0.017,0.032,0.036,0.073,0.048,0.101
431.552,0.015,0.047,0.017,0.032,0.035,0.074,0.049,0.1
431.724,0.014,0.047,0.016,0.032,0.035,0.074,0.047,0.101
431.895,0.014,0.048,0.015,0.031,0.034,0.075,0.046,0.101
